교습형태,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
교습소명,교습소주소,분야구분,교습계열,교습과정,2016(1),2016(2),2016(3),2016(4),2016(5),2016(6),2016(7),2016(8),2016(9),2016(10),2016(11),2016(12),2017(1),2017(2),2017(3),2017(4),2017(5),2017(6),2017(7),2017(8),2017(9),2017(10),2017(11),2017(12),2018(1),2018(2),2018(3),2018(4),2018(5),2018(6),2018(7),2018(8),2018(9),2018(10),2018(11),2018(12)
바른수학교습소,"서울특별시 동작구 여의대방로36길 30 , 4층 (대방동)",입시.검정 및 보습,보통교과,보습," 6,628,000 "," 1,059,000 "," 3,053,000 "," 6,610,000 "," 5,101,000 "," 4,286,000 "," 3,841,000 "," 494,000 "," 335,000 "," 5,877,000 "," 4,857,000 "," 1,840,000 "," 5,795,000 "," 355,000 "," 787,000 "," 6,702,000 "," 5,413,000 "," 6,109,000 "," 6,880,000 "," 1,876,000 "," 6,231,000 "," 2,516,000 "," 932,000 "," 612,000 "," 6,298,000 "," 3,242,000 "," 244,000 "," 150,000 "," 1,481,000 "," 2,186,000 "," 3,884,000 "," 5,916,000 "," 382,000 "," 399,000 "," 2,341,000 "," 4,766,000 "
바른수학교습소,"서울특별시 동작구 여의대방로36길 30 , 4층 (대방동)",입시.검정 및 보습,보통교과,보습," 1,624,000 "," 6,044,000 "," 6,575,000 "," 6,199,000 "," 4,250,000 "," 2,531,000 "," 2,588,000 "," 6,599,000 "," 706,000 "," 5,393,000 "," 3,314,000 "," 5,716,000 "," 4,003,000 "," 228,000 "," 4,740,000 "," 4,824,000 "," 5,392,000 "," 1,571,000 "," 1,902,000 "," 6,149,000 "," 5,473,000 "," 4,295,000 "," 1,531,000 "," 3,104,000 "," 4,240,000 "," 2,992,000 "," 4,986,000 "," 5,697,000 "," 1,725,000 "," 6,776,000 "," 1,202,000 "," 3,581,000 "," 6,010,000 "," 3,604,000 "," 6,237,000 "," 2,676,000 "
친니친니중국어교습소,"서울특별시 동작구 사당로17길 8 , 113호 (사당동, 대림아파트상가A동)",국제화,외국어,실용외국어(유아/초·중·고)," 6,042,000 "," 6,610,000 "," 1,344,000 "," 1,582,000 "," 906,000 "," 4,818,000 "," 3,264,000 "," 4,411,000 "," 4,716,000 "," 3,610,000 "," 969,000 "," 3,651,000 "," 944,000 "," 6,015,000 "," 5,747,000 "," 1,974,000 "," 956,000 "," 3,284,000 "," 2,215,000 "," 6,180,000 "," 2,168,000 "," 1,902,000 "," 223,000 "," 6,977,000 "," 2,016,000 "," 2,436,000 "," 204,000 "," 6,208,000 "," 1,810,000 "," 3,424,000 "," 5,895,000 "," 1,807,000 "," 4,145,000 "," 6,899,000 "," 6,073,000 "," 3,460,000 "
성가피아노교습소,서울특별시 동작구 여의대방로 28 현대아파트상가 에이동 402호(신대방동),예능(대),예능(중),음악," 1,729,000 "," 6,697,000 "," 5,960,000 "," 1,549,000 "," 5,979,000 "," 2,589,000 "," 866,000 "," 3,337,000 "," 5,728,000 "," 4,496,000 "," 4,310,000 "," 6,558,000 "," 4,442,000 "," 205,000 "," 2,798,000 "," 2,252,000 "," 5,039,000 "," 5,570,000 "," 6,332,000 "," 2,748,000 "," 5,068,000 "," 1,569,000 "," 395,000 "," 5,822,000 "," 2,363,000 "," 6,995,000 "," 1,816,000 "," 1,803,000 "," 5,119,000 "," 6,506,000 "," 5,588,000 "," 5,728,000 "," 5,924,000 "," 1,057,000 "," 741,000 "," 1,986,000 "
성가피아노교습소,서울특별시 동작구 여의대방로 28 현대아파트상가 에이동 402호(신대방동),예능(대),예능(중),음악," 1,650,000 "," 1,049,000 "," 2,296,000 "," 551,000 "," 6,952,000 "," 3,927,000 "," 3,843,000 "," 183,000 "," 6,605,000 "," 3,203,000 "," 2,644,000 "," 3,819,000 "," 5,801,000 "," 2,212,000 "," 3,313,000 "," 6,412,000 "," 1,894,000 "," 1,224,000 "," 1,775,000 "," 1,576,000 "," 3,442,000 "," 1,926,000 "," 3,942,000 "," 6,245,000 "," 2,866,000 "," 1,009,000 "," 5,379,000 "," 1,251,000 "," 1,515,000 "," 3,465,000 "," 6,972,000 "," 2,159,000 "," 3,766,000 "," 654,000 "," 2,377,000 "," 465,000 "
성가피아노교습소,서울특별시 동작구 여의대방로 28 현대아파트상가 에이동 402호(신대방동),예능(대),예능(중),음악," 2,561,000 "," 1,469,000 "," 705,000 "," 6,496,000 "," 1,773,000 "," 6,196,000 "," 1,618,000 "," 3,484,000 "," 6,615,000 "," 2,977,000 "," 1,119,000 "," 3,925,000 "," 1,802,000 "," 1,255,000 "," 5,068,000 "," 564,000 "," 409,000 "," 2,905,000 "," 6,751,000 "," 2,061,000 "," 6,294,000 "," 3,472,000 "," 5,230,000 "," 4,950,000 "," 4,049,000 "," 3,546,000 "," 6,806,000 "," 2,008,000 "," 3,017,000 "," 2,978,000 "," 6,722,000 "," 4,419,000 "," 3,025,000 "," 1,692,000 "," 1,528,000 "," 4,899,000 "
성가피아노교습소,서울특별시 동작구 여의대방로 28 현대아파트상가 에이동 402호(신대방동),예능(대),예능(중),음악," 3,812,000 "," 6,667,000 "," 3,781,000 "," 1,432,000 "," 4,835,000 "," 4,916,000 "," 6,667,000 "," 3,659,000 "," 6,366,000 "," 6,769,000 "," 2,060,000 "," 244,000 "," 1,434,000 "," 3,129,000 "," 5,988,000 "," 4,564,000 "," 909,000 "," 4,583,000 "," 3,255,000 "," 3,836,000 "," 4,874,000 "," 1,398,000 "," 1,370,000 "," 5,060,000 "," 4,567,000 "," 669,000 "," 6,553,000 "," 5,983,000 "," 3,982,000 "," 323,000 "," 1,069,000 "," 3,729,000 "," 1,900,000 "," 972,000 "," 6,684,000 "," 483,000 "
더피아니즘음악교습소,"서울특별시 관악구 남부순환로141길 14 , 2층 (신림동)",예능(대),예능(중),음악," 2,687,000 "," 4,539,000 "," 4,388,000 "," 1,215,000 "," 5,500,000 "," 5,506,000 "," 5,183,000 "," 5,090,000 "," 5,643,000 "," 1,152,000 "," 4,741,000 "," 5,422,000 "," 3,952,000 "," 2,001,000 "," 5,752,000 "," 3,921,000 "," 2,070,000 "," 2,073,000 "," 1,175,000 "," 4,749,000 "," 4,490,000 "," 3,597,000 "," 3,451,000 "," 2,629,000 "," 2,969,000 "," 534,000 "," 3,776,000 "," 569,000 "," 4,994,000 "," 2,621,000 "," 5,615,000 "," 694,000 "," 5,601,000 "," 985,000 "," 959,000 "," 816,000 "
더피아니즘음악교습소,"서울특별시 관악구 남부순환로141길 14 , 2층 (신림동)",예능(대),예능(중),음악," 3,997,000 "," 1,949,000 "," 1,048,000 "," 2,247,000 "," 2,979,000 "," 699,000 "," 6,788,000 "," 3,508,000 "," 2,065,000 "," 6,319,000 "," 1,031,000 "," 5,773,000 "," 3,060,000 "," 1,487,000 "," 4,143,000 "," 4,483,000 "," 687,000 "," 1,944,000 "," 2,462,000 "," 5,210,000 "," 3,707,000 "," 3,806,000 "," 2,216,000 "," 5,340,000 "," 2,253,000 "," 163,000 "," 683,000 "," 748,000 "," 5,424,000 "," 6,840,000 "," 4,787,000 "," 6,909,000 "," 3,428,000 "," 3,261,000 "," 4,477,000 "," 463,000 "
더피아니즘음악교습소,"서울특별시 관악구 남부순환로141길 14 , 2층 (신림동)",예능(대),예능(중),음악," 2,065,000 "," 3,229,000 "," 127,000 "," 6,673,000 "," 4,782,000 "," 6,368,000 "," 5,089,000 "," 1,429,000 "," 5,710,000 "," 2,732,000 "," 6,163,000 "," 5,416,000 "," 5,020,000 "," 2,524,000 "," 1,024,000 "," 4,574,000 "," 6,634,000 "," 3,418,000 "," 1,252,000 "," 5,130,000 "," 2,489,000 "," 1,818,000 "," 6,555,000 "," 1,266,000 "," 2,617,000 "," 2,659,000 "," 5,677,000 "," 2,674,000 "," 955,000 "," 5,269,000 "," 4,767,000 "," 6,141,000 "," 3,009,000 "," 945,000 "," 1,104,000 "," 2,318,000 "
